word,met,index,x,y,vy,vx,fx,fy
alice,0.025956780390307,0,1.3099496996691902,-4.682741910225899,0.00009562746404027751,0.0004816521731732742,,
gryphon,0.00454723629415609,1,-86.0846038961953,93.81344810143972,0.0010857772345727926,0.001939101495863582,,
dormouse,0.00424159010227087,2,1.6880563720961304,-135.06735373060167,0.00017176651639017328,-0.003876681302843351,,
duchess,0.00424159010227087,3,81.7484966654492,97.93457319667672,0.0005474560756418327,-0.0003030849629755472,,
hatter,0.00370811148432957,4,-125.2853775256167,-23.79590821964146,-0.002871099381412933,0.0012584801410705157,,
turtle,0.00316933828339371,5,106.49219371718272,-77.45741484228138,0.005205957518791124,-0.0017728404174894782,,
caterpillar,0.0018203456377618,6,-12.374959175060551,147.37806788344272,0.004048232135756453,0.00048368369152606894,,
rabbit,0.00177755600589738,7,-60.3195394123338,-119.56033273450342,-0.009390229113225845,-0.006671212010548474,,
alices,0.00130510464685257,8,139.48908505762395,79.67816294410986,-0.000044635376220848734,-0.00038478040639189267,,
herself,0.00126631562210181,9,-169.93441187909318,13.04428718514137,-0.0005951347737948885,0.002828900047026855,,
soup,0.00121356375850786,10,106.00227018331192,-132.35460214002336,0.005006381288117685,-0.005537612606076839,,
mouse,0.00115951791903298,11,84.58669645403442,171.06139204379872,0.002423178045142006,0.001709374690689402,,
hare,0.00110168234023429,12,-165.9047021108105,-63.14263934651431,-0.0009737845827670357,-0.0007994090586124063,,
dodo,0.00107480130589144,13,184.69497561119226,-66.48670067953587,-0.0009836733033439103,0.002499540319830472,,
im,0.00105625977011493,14,-72.02653573045801,180.16500944504318,0.0017154101854179099,-0.001492611147296944,,
mock,0.00103772889695502,15,57.84741288686897,-181.37411198246514,-0.00040799682600283095,0.0030249531094235058,,
jury,0.000962120550315946,16,110.75970496739012,15.647343794986536,-0.0008950031747572123,0.0007882436156739191,,
dinah,0.000909447258831217,17,-180.07807024140882,-26.39594827680486,-0.00025218210864880376,0.0009228141633923024,,
tone,0.000884687936336721,18,149.8355563843994,-5.270241711272377,-0.005638458697142289,0.013144121626262821,,
whiting,0.000870069764568381,19,36.72500633164146,132.64783689692757,0.0027531169012913557,0.0011760489090325297,,
cat,0.000774101944294631,20,-101.21918832817938,-133.13603482326192,-0.006677850305441946,-0.007578657045263378,,
lory,0.000761311043997332,21,191.22975996357962,50.40356097694166,0.00865264664515125,-0.005663425874752416,,
slates,0.000761311043997332,22,-132.06692948401817,130.35476754448138,0.006051609056647412,-0.0038474915494193726,,
soooop,0.000761311043997332,23,176.65693354009738,18.769815014580228,0.0037783571240270503,0.0050446871431537865,,
ive,0.000751984745886212,24,112.25763722503312,144.52977756309232,0.0004858015633217704,0.00002545243566028405,,
dont,0.000734698375454458,25,-109.91478007633214,-76.71045729331901,-0.0014954130064169986,-0.0014165850322477068,,
cant,0.000730287517146237,26,155.53659489442023,-94.17526471423457,-0.006416985365414374,0.005032258645696148,,
youre,0.000701813477309436,27,-119.89851887293436,48.29562623569475,0.0014412304476980693,-0.0009861279330707767,,
pigeon,0.000679143917870079,28,-29.84558113967635,-182.86690617566688,-0.005547612612772122,0.003119823465795424,,
up,0.000672317601061394,29,132.9046724469696,117.76648061937169,0.000281244975008494,-0.00019167022495472573,,
mushroom,0.000661416188240885,30,-168.2603993801273,97.1391278950054,-0.002295853912941984,0.002967928807413948,,
breadandbutter,0.000652552323426285,31,137.11992504393902,-38.298329256097055,-0.0022207006522550646,0.007903140589060114,,
croquet,0.000652552323426285,32,-102.89936252884512,147.1648688586907,0.00046691255479470116,-0.0001277875623949848,,
wow,0.000652552323426285,33,-75.73890107166444,-80.7380873293379,-0.003816326943954762,0.004144146713760785,,
cats,0.000620077676475829,34,158.14103979742202,46.47685273051158,-0.002556149502966237,-0.004406270339940485,,
knave,0.00060678187925393,35,-32.32468856839701,107.26563934854167,0.002852377200295628,0.0018058307815852319,,
lobster,0.000578739164710773,36,-62.983565387312474,-181.33618471847097,-0.008672481833955019,0.0010264515795300594,,
lobsters,0.000578739164710773,37,196.3835758597634,-32.703207525736666,-0.0020901764803689265,0.005973586144783396,,
again,0.000562551462112595,38,-200.46562070548615,34.176240199107355,-0.004105815158885279,0.0004810659651626647,,
looked,0.000551023781590845,39,88.66092957557095,-164.5526384876044,0.0005462238271933974,0.00257580102156308,,
have,0.000548830694743995,40,-35.45433935704825,181.15914581872983,0.0036733144872586557,-0.0004128905540163413,,
flamingo,0.000543793602855238,41,-120.66349189768563,-107.0168321865752,-0.0018304520156170604,-0.0013329823713454415,,
hookah,0.000543793602855238,42,95.38094820720217,46.338701444900785,-0.00016613091661421,0.000899899131418867,,
jurymen,0.000543793602855238,43,-203.6156349441905,-2.036840710895788,0.0008964234650303392,0.002111451369765517,,
itll,0.000539361670447938,44,158.01714951900146,-126.13976453161347,-0.007769529810930292,-0.009709413171125022,,
anxiously,0.000497533960105807,45,28.929706248338494,98.10817816091262,0.0010137549594171485,-0.0008383340613763946,,
its,0.000491944497210209,46,-149.71553663376997,-111.65186831828,-0.0021060848914465093,-0.0012268311899482096,,
doesnt,0.000488218071171782,47,124.7506545547176,46.27045685425662,-0.0008676484913010527,0.0008982775656801546,,
fan,0.000481988954493551,48,-106.33993780993919,177.50276520889543,0.0003578110901336314,-0.0014527386831957527,,
footman,0.000481988954493551,49,-46.26536937425209,-156.78372597246576,-0.007732712639691506,-0.0003973986629106259,,
cheshire,0.000471941461641945,50,54.54589181828784,189.32090383522527,0.002041693247874877,0.0013960406081480973,,
